1 Could I have an iced cordusio , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 A chai tea latte , please .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a grande chai tea latte . Is that right ?|So that would be a grande chai tea latte . Did I get that right ?|Your order is a grande chai tea latte . Is that right ?|Your order is a grande chai tea latte . Did I get that right ?
4 That sounds right !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get a salted caramel mocha , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a short salted caramel mocha . Is that right ?|So that would be a short salted caramel mocha . Did I get that right ?|Your order is a short salted caramel mocha . Is that right ?|Your order is a short salted caramel mocha . Did I get that right ?
4 Yeah .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I have a salted caramel mocha ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 I am good .	So that would be a grande salted caramel mocha . Is that right ?|So that would be a grande salted caramel mocha . Did I get that right ?|Your order is a grande salted caramel mocha . Is that right ?|Your order is a grande salted caramel mocha . Did I get that right ?
4 That sounds right !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I get an iced pumpkin spice chai latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink .	So that would be a short iced pumpkin spice chai latte . Is that right ?|So that would be a short iced pumpkin spice chai latte . Did I get that right ?|Your order is a short iced pumpkin spice chai latte . Is that right ?|Your order is a short iced pumpkin spice chai latte . Did I get that right ?
4 Yeah .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get an iced pumpkin spice latte ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That is it .	So that would be a grande iced pumpkin spice latte . Is that right ?|So that would be a grande iced pumpkin spice latte . Did I get that right ?|Your order is a grande iced pumpkin spice latte . Is that right ?|Your order is a grande iced pumpkin spice latte . Did I get that right ?
4 Yeap .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I get a bottle of water ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a tall bottle of water . Is that right ?|So that would be a tall bottle of water . Did I get that right ?|Your order is a tall bottle of water . Is that right ?|Your order is a tall bottle of water . Did I get that right ?
4 Sounds good !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have a salted caramel mocha ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thanks .	So that would be a tall salted caramel mocha . Is that right ?|So that would be a tall salted caramel mocha . Did I get that right ?|Your order is a tall salted caramel mocha . Is that right ?|Your order is a tall salted caramel mocha . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have an iced latte macchiato ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a tall iced latte macchiato . Is that right ?|So that would be a tall iced latte macchiato . Did I get that right ?|Your order is a tall iced latte macchiato . Is that right ?|Your order is a tall iced latte macchiato . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get a raspberry lemonade , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
